Area	Species	Year	AvgWt	AvgPrice	#fish(x1000)	Wtfish(x1000)	Estimated Value	Poundage by Fincance	Finance by Poundage
Prince William Sound	Chinook	2004	22.46	4.67	39	879	4110	880.0856531	4104.93
Prince William Sound	Chinook	2003	22.84	3.46	49	1119	3872	1119.075145	3871.74
Prince William Sound	Chinook	2002	20.75	3.51	40	830	2913	829.9145299	2913.3
Prince William Sound	Chinook	2001	21.2	3.71	40	870	3240	873.3153639	3227.7
Prince William Sound	Chinook	2000	20.8	4.08	30	670	2710	664.2156863	2733.6
Prince William Sound	Chinook	1999	21.04	4.2	60	1360	5700	1357.142857	5712
Prince William Sound	Chinook	1998	22.45	2.4	70	1620	3900	1625	3888
Prince William Sound	Chinook	1997	22.69	2.01	50	1220	2450	1218.905473	2452.2
Prince William Sound	Chinook	1996	24.74	1.6	60	1450	2320	1450	2320
Prince William Sound	Chinook	1995	24	2.27	70	1650	3750	1651.982379	3745.5
Prince William Sound	Chinook	1994	22.18	1.49	50	1090	1630	1093.959732	1624.1
Prince William Sound	Sockeye	2016	5.32	2.24	1937	10303	23103	10313.83929	23078.72
Prince William Sound	Sockeye	2015	5.35	2.01	3210	17183	34593	17210.44776	34537.83
Prince William Sound	Sockeye	2014	5.93	2.29	3307	19615	44961	19633.62445	44918.35
Prince William Sound	Sockeye	2013	6.08	2.28	2280	13870	31677	13893.42105	31623.6
Prince William Sound	Sockeye	2012	6.72	1.83	3690	24785	45375	24795.08197	45356.55
Prince William Sound	Sockeye	2011	6.12	1.82	3532	21633	39371	21632.41758	39372.06
Prince William Sound	Sockeye	2010	6.14	2.01	2037	12515	25117	12496.0199	25155.15
Prince William Sound	Sockeye	2009	6.22	1.83	1913	11901	21800	11912.56831	21778.83
Prince William Sound	Sockeye	2008	6.15	1.69	1301	8004	13527	8004.142012	13526.76
Prince William Sound	Sockeye	2007	6.26	1.55	3231	20237	31376	20242.58065	31367.35
Prince William Sound	Sockeye	2006	5.59	1.61	2525	14116	22727	14116.14907	22726.76
Prince William Sound	Sockeye	2005	5.9	1.57	1989	11740	18432	11740.12739	18431.8
Prince William Sound	Sockeye	2004	5.8	1.38	1893	10977	15160	10985.50725	15148.26
Prince William Sound	Sockeye	2003	6.1	1.1	2730	16660	18326	16660	18326
Prince William Sound	Sockeye	2002	6.39	1.13	2263	14453	16332	14453.09735	16331.89
Prince William Sound	Sockeye	2001	6.14	1.11	2260	13890	15420	13891.89189	15417.9
Prince William Sound	Sockeye	2000	6.48	1.57	1430	9310	14660	9337.579618	14616.7
Prince William Sound	Sockeye	1999	5.98	1.7	2040	12180	20710	12182.35294	20706
Prince William Sound	Sockeye	1998	6.04	1.5	1720	10370	15560	10373.33333	15555
Prince William Sound	Sockeye	1997	6.33	0.96	4160	26340	25290	26343.75	25286.4
Prince William Sound	Sockeye	1996	6.36	1.3	2990	19010	24720	19015.38462	24713
Prince William Sound	Sockeye	1995	5.7	1.55	1520	8750	13570	8754.83871	13562.5
Prince William Sound	Sockeye	1994	5.74	1.26	1520	8700	10960	8698.412698	10962
Prince William Sound	Coho	2016	9.02	1.45	478	4309	6233	4298.62069	6248.05
Prince William Sound	Coho	2015	7.43	0.66	198	1469	966	1463.636364	969.54
Prince William Sound	Coho	2014	8.08	1.1	600	4853	5346	4860	5338.3
Prince William Sound	Coho	2013	7.81	1.33	581	4539	6060	4556.390977	6036.87
Prince William Sound	Coho	2012	8.05	1.27	209	1683	2130	1677.165354	2137.41
Prince William Sound	Coho	2011	7.07	1.13	370	2619	2951	2611.504425	2959.47
Prince William Sound	Coho	2010	8.95	1.43	334	2987	4268	2984.615385	4271.41
Prince William Sound	Coho	2009	8.85	1.29	300	2655	3437	2664.341085	3424.95
Prince William Sound	Coho	2008	9.51	1.22	551	5234	6386	5234.42623	6385.48
Prince William Sound	Coho	2007	8.54	0.82	329	2811	2301	2806.097561	2305.02
Prince William Sound	Coho	2006	8.93	0.81	764	6824	5527	6823.45679	5527.44
Prince William Sound	Coho	2005	7.86	0.76	523	4178	3175	4177.631579	3175.28
Prince William Sound	Coho	2004	9.03	0.7	620	5595	3939	5627.142857	3916.5
Prince William Sound	Coho	2003	8.39	0.47	522	4378	2058	4378.723404	2057.66
Prince William Sound	Coho	2002	9.36	0.36	651	6096	2195	6097.222222	2194.56
Prince William Sound	Coho	2001	8.61	0.31	490	4250	1320	4258.064516	1317.5
Prince William Sound	Coho	2000	9.4	0.52	710	6690	3460	6653.846154	3478.8
Prince William Sound	Coho	1999	8	0.58	170	1360	790	1362.068966	788.8
Prince William Sound	Coho	1998	8.85	0.55	190	1720	950	1727.272727	946
Prince William Sound	Coho	1997	7.67	0.58	80	640	370	637.9310345	371.2
Prince William Sound	Coho	1996	8.12	0.5	420	3440	1720	3440	1720
Prince William Sound	Coho	1995	9.4	0.5	970	9030	4520	9040	4515
Prince William Sound	Coho	1994	9.77	0.73	1060	10340	7550	10342.46575	7548.2
Prince William Sound	Pink	2016	3.89	0.28	13269	51562	14338	51207.14286	14437.36
Prince William Sound	Pink	2015	3.38	0.22	98254	332085	71913	326877.2727	73058.7
Prince William Sound	Pink	2014	3.37	0.31	43902	148093	45603	147106.4516	45908.83
Prince William Sound	Pink	2013	2.81	0.41	91017	255707	106017	258578.0488	104839.87
Prince William Sound	Pink	2012	3.94	0.5	27232	107183	54007	108014	53591.5
Prince William Sound	Pink	2011	2.99	0.46	33356	99797	46087	100189.1304	45906.62
Prince William Sound	Pink	2010	3.6	0.41	71310	256425	104486	254843.9024	105134.25
Prince William Sound	Pink	2009	3.01	0.26	19001	57157	14811	56965.38462	14860.82
Prince William Sound	Pink	2008	3.39	0.37	42354	143620	53139	143618.9189	53139.4
Prince William Sound	Pink	2007	3.36	0.19	63470	213455	40714	214284.2105	40556.45
Prince William Sound	Pink	2006	3.6	0.17	21722	78288	13309	78288.23529	13308.96
Prince William Sound	Pink	2005	3.46	0.12	59945	207217	24866	207216.6667	24866.04
Prince William Sound	Pink	2004	3.72	0.12	23531	87449	10495	87458.33333	10493.88
Prince William Sound	Pink	2003	3.64	0.09	51976	189442	17050	189444.4444	17049.78
Prince William Sound	Pink	2002	3.47	0.12	18951	65795	7895	65791.66667	7895.4
Prince William Sound	Pink	2001	3.39	0.14	35250	119460	16720	119428.5714	16724.4
Prince William Sound	Pink	2000	3.34	0.15	38890	132990	20350	135666.6667	19948.5
Prince William Sound	Pink	1999	2.97	0.14	45010	133690	18720	133714.2857	18716.6
Prince William Sound	Pink	1998	3.67	0.15	28690	105310	15800	105333.3333	15796.5
Prince William Sound	Pink	1997	3.75	0.14	25434	96890	13570	96928.57143	13564.6
Prince William Sound	Pink	1996	3.63	0.08	26020	94460	7560	94500	7556.8
Prince William Sound	Pink	1995	3.6	0.21	16070	57280	12030	57285.71429	12028.8
Prince William Sound	Pink	1994	3.12	0.19	36890	115090	21870	115105.2632	21867.1
Prince William Sound	Chum	2016	6.91	0.57	3431	23712	13629	23910.52632	13515.84
Prince William Sound	Chum	2015	5.38	0.61	2544	13679	8331	13657.37705	8344.19
Prince William Sound	Chum	2014	7.62	0.64	1530	11659	7449	11639.0625	7461.76
Prince William Sound	Chum	2013	7.32	0.6	4006	29325	17475	29125	17595
Prince William Sound	Chum	2012	7.12	0.76	3818	27188	20755	27309.21053	20662.88
Prince William Sound	Chum	2011	7.41	0.9	1910	14156	12773	14192.22222	12740.4
Prince William Sound	Chum	2010	6.81	0.81	4323	29431	23904	29511.11111	23839.11
Prince William Sound	Chum	2009	7.52	0.56	3221	24232	13478	24067.85714	13569.92
Prince William Sound	Chum	2008	7.76	0.58	5076	39373	22837	39374.13793	22836.34
Prince William Sound	Chum	2007	6.93	0.34	3579	24799	8551	25150	8431.66
Prince William Sound	Chum	2006	8.71	0.37	2182	19008	7033	19008.10811	7032.96
Prince William Sound	Chum	2005	7.87	0.3	2099	16525	4958	16526.66667	4957.5
Prince William Sound	Chum	2004	7.52	0.22	2002	15047	3257	14804.54545	3310.34
Prince William Sound	Chum	2003	6.38	0.18	3804	24285	4371	24283.33333	4371.3
Prince William Sound	Chum	2002	8.249607782	0.16	6374	52583	8413	52581.25	8413.28
Prince William Sound	Chum	2001	7.58	0.4	3100	23500	9400	23500	9400
Prince William Sound	Chum	2000	8.04	0.28	5160	41520	11540	41214.28571	11625.6
Prince William Sound	Chum	1999	8.24	0.26	1960	16160	4200	16153.84615	4201.6
Prince William Sound	Chum	1998	8.19	0.3	1270	10420	3130	10433.33333	3126
Prince William Sound	Chum	1997	8.61	0.32	2230	19180	6140	19187.5	6137.6
Prince William Sound	Chum	1996	8.68	0.18	2390	20740	3730	20722.22222	3733.2
Prince William Sound	Chum	1995	7.9	0.44	760	5960	2620	5954.545455	2622.4
Prince William Sound	Chum	1994	8.48	0.46	1060	8970	4130	8978.26087	4126.2
Cook Inlet	Chinook	2016	17.8	2.52	11	188	473	187.6984127	473.76
Cook Inlet	Chinook	2015	16	2.05	11	176	361	176.097561	360.8
Cook Inlet	Chinook	2014	15.35	2.84	5	72	204	71.83098592	204.48
Cook Inlet	Chinook	2013	12.98	2.89	5	71	206	71.28027682	205.19
Cook Inlet	Chinook	2012	16.87	3.37	3	43	145	43.02670623	144.91
Cook Inlet	Chinook	2011	20.31	2.94	11	226	663	225.5102041	664.44
Cook Inlet	Chinook	2010	20.68	2.97	10	203	6041	2034.006734	602.91
Cook Inlet	Chinook	2009	17.32	2.55	9	150	383	150.1960784	382.5
Cook Inlet	Chinook	2008	23.22	2.84	13	313	890	313.3802817	888.92
Cook Inlet	Chinook	2007	20.5	2.02	18	369	745	368.8118812	745.38
Cook Inlet	Chinook	2006	19.28	1.89	19	362	685	362.4338624	684.18
Cook Inlet	Chinook	2005	24.34	1.22	29	701	856	701.6393443	855.22
Cook Inlet	Chinook	2004	23.91	1.12	29	697	780	696.4285714	780.64
Cook Inlet	Chinook	2003	19.65	1.15	20	393	452	393.0434783	451.95
Cook Inlet	Chinook	2002	21.79	1.15	14	305	351	305.2173913	350.75
Cook Inlet	Chinook	2001	17.79	1.09	10	180	200	183.4862385	196.2
Cook Inlet	Chinook	2000	25.28	1.21	10	210	260	214.8760331	254.1
Cook Inlet	Chinook	1999	22.88	1.18	20	370	440	372.8813559	436.6
Cook Inlet	Chinook	1998	21.63	1.25	10	200	250	200	250
Cook Inlet	Chinook	1997	26.38	0.98	13	380	380	387.755102	372.4
Cook Inlet	Chinook	1996	22	1.15	20	360	410	356.5217391	414
Cook Inlet	Chinook	1995	24.6	0.99	20	530	530	535.3535354	524.7
Cook Inlet	Chinook	1994	30.61	0.93	20	650	600	645.1612903	604.5
Cook Inlet	Sockeye	2016	5.7	1.53	2643	15010	22978	15018.30065	22965.3
Cook Inlet	Sockeye	2015	5.32	1.59	2840	15100	23992	15089.30818	24009
Cook Inlet	Sockeye	2014	6.06	2.25	2563	15536	34993	15552.44444	34956
Cook Inlet	Sockeye	2013	6.25	2.25	2743	17141	38492	17107.55556	38567.25
Cook Inlet	Sockeye	2012	6.71	1.44	3328	22317	32177	22345.13889	32136.48
Cook Inlet	Sockeye	2011	6.39	1.38	5667	36216	50145	36336.95652	49978.08
Cook Inlet	Sockeye	2010	6.12	1.65	2926	17905	29603	17941.21212	29543.25
Cook Inlet	Sockeye	2009	6.01	1.27	2337	14036	17894	14089.76378	17825.72
Cook Inlet	Sockeye	2008	5.75	1.26	2796	16089	20272	16088.88889	20272.14
Cook Inlet	Sockeye	2007	6.12	1	3694	22591	22635	22635	22591
Cook Inlet	Sockeye	2006	5.05	1.07	2428	12266	13125	12266.35514	13124.62
Cook Inlet	Sockeye	2005	5.98	0.94	5483	32812	30843	32811.70213	30843.28
Cook Inlet	Sockeye	2004	6.03	0.71	5061	30531	21665	30514.08451	21677.01
Cook Inlet	Sockeye	2003	5.76	0.65	4134	23828	15488	23827.69231	15488.2
Cook Inlet	Sockeye	2002	6.3	0.56	3102	19558	10952	19557.14286	10952.48
Cook Inlet	Sockeye	2001	5.89	0.65	2050	12060	7840	12061.53846	7839
Cook Inlet	Sockeye	2000	6.75	0.85	1570	10590	9000	10588.23529	9001.5
Cook Inlet	Sockeye	1999	5.59	1.34	3190	17840	23910	17843.28358	23905.6
Cook Inlet	Sockeye	1998	5.31	1.35	1510	8030	10840	8029.62963	10840.5
Cook Inlet	Sockeye	1997	6.44	1.15	4450	28640	32940	28643.47826	32936
Cook Inlet	Sockeye	1996	6.2	1.15	4050	25130	28890	25121.73913	28899.5
Cook Inlet	Sockeye	1995	5.6	1.18	3240	18030	21270	18025.42373	21275.4
Cook Inlet	Sockeye	1994	5.64	1.45	3710	20900	30300	20896.55172	30305
Cook Inlet	Coho	2016	6.3	0.6	139	879	530	883.3333333	527.4
Cook Inlet	Coho	2015	5.88	0.6	218	1282	770	1283.333333	769.2
Cook Inlet	Coho	2014	6.14	0.9	135	829	746	828.8888889	746.1
Cook Inlet	Coho	2013	6.11	0.85	257	1572	1340	1576.470588	1336.2
Cook Inlet	Coho	2012	6.02	0.76	107	647	492	647.3684211	491.72
Cook Inlet	Coho	2011	5.72	0.77	96	547	423	549.3506494	421.19
Cook Inlet	Coho	2010	6.58	0.97	209	1374	1326	1367.010309	1332.78
Cook Inlet	Coho	2009	6.54	0.79	155	1015	798	1010.126582	801.85
Cook Inlet	Coho	2008	7.02	0.64	176	1234	789	1232.8125	789.76
Cook Inlet	Coho	2007	6.43	0.56	184	1184	658	1175	663.04
Cook Inlet	Coho	2006	6.52	0.66	212	1379	910	1378.787879	910.14
Cook Inlet	Coho	2005	6.32	0.52	234	1482	771	1482.692308	770.64
Cook Inlet	Coho	2004	6.72	0.35	323	2173	751	2145.714286	760.55
Cook Inlet	Coho	2003	6.5	0.27	114	741	200	740.7407407	200.07
Cook Inlet	Coho	2002	6.74	0.22	258	1738	382	1736.363636	382.36
Cook Inlet	Coho	2001	6.61	0.3	120	800	240	800	240
Cook Inlet	Coho	2000	7.2	0.4	250	1790	720	1800	716
Cook Inlet	Coho	1999	5.88	0.45	130	790	360	800	355.5
Cook Inlet	Coho	1998	6.97	0.55	180	1260	690	1254.545455	693
Cook Inlet	Coho	1997	6.43	0.4	160	1050	420	1050	420
Cook Inlet	Coho	1996	6.5	0.5	330	2120	1060	2120	1060
Cook Inlet	Coho	1995	6.5	0.49	470	3020	1480	3020.408163	1479.8
Cook Inlet	Coho	1994	7.18	0.67	600	4300	2880	4298.507463	2881
Cook Inlet	Pink	2016	4.3	0.2	476	2046	408	2040	409.2
Cook Inlet	Pink	2015	3.17	0.21	6398	20254	4260	20285.71429	4253.34
Cook Inlet	Pink	2014	3.6	0.26	904	3254	841	3234.615385	846.04
Cook Inlet	Pink	2013	3.1	0.38	2097	6500	2465	6486.842105	2470
Cook Inlet	Pink	2012	3.57	0.33	726	2595	847	2566.666667	856.35
Cook Inlet	Pink	2011	2.91	0.42	396	1152	479	1140.47619	483.84
Cook Inlet	Pink	2010	3.95	0.31	571	2253	696	2245.16129	698.43
Cook Inlet	Pink	2009	3.12	0.23	1204	3754	850	3695.652174	863.42
Cook Inlet	Pink	2008	3.62	0.3	675	2445	733	2443.333333	733.5
Cook Inlet	Pink	2007	3.35	0.07	435	1456	99	1414.285714	101.92
Cook Inlet	Pink	2006	3.72	0.12	1877	6984	838	6983.333333	838.08
Cook Inlet	Pink	2005	3.4	0.1	2356	8019	802	8020	801.9
Cook Inlet	Pink	2004	3.5	0.09	2875	10074	886	9844.444444	906.66
Cook Inlet	Pink	2003	3.25	0.07	907	2947	206	2942.857143	206.29
Cook Inlet	Pink	2002	3.46	0.07	2441	8444	591	8442.857143	591.08
Cook Inlet	Pink	2001	3.12	0.13	670	2080	270	2076.923077	270.4
Cook Inlet	Pink	2000	2.51	0.14	1540	3850	420	3000	539
Cook Inlet	Pink	1999	2.52	0.16	1160	2910	470	2937.5	465.6
Cook Inlet	Pink	1998	3.3	0.12	2010	6630	800	6666.666667	795.6
Cook Inlet	Pink	1997	3.09	0.14	2890	8910	1250	8928.571429	1247.4
Cook Inlet	Pink	1996	2.83	0.07	670	1910	130	1857.142857	133.7
Cook Inlet	Pink	1995	2.9	0.17	2980	8730	1480	8705.882353	1484.1
Cook Inlet	Pink	1994	3.22	0.15	2170	6990	1050	7000	1048.5
Cook Inlet	Chum	2016	7	0.43	201	1407	609	1416.27907	605.01
Cook Inlet	Chum	2015	6.71	0.41	3.82	2565	1048	2556.097561	1051.65
Cook Inlet	Chum	2014	7.4	0.53	189	1395	741	1398.113208	739.35
Cook Inlet	Chum	2013	7.62	0.43	193	1472	630	1465.116279	632.96
Cook Inlet	Chum	2012	8.08	0.51	326	2634	1347	2641.176471	1343.34
Cook Inlet	Chum	2011	6.67	0.68	161	1073	735	1080.882353	729.64
Cook Inlet	Chum	2010	7.24	0.65	324	2345	1531	2355.384615	1524.25
Cook Inlet	Chum	2009	7.52	0.4	157	1178	471	1177.5	471.2
Cook Inlet	Chum	2008	8.04	0.54	226	1821	983	1820.37037	983.34
Cook Inlet	Chum	2007	7.34	0.21	79	580	121	576.1904762	121.8
Cook Inlet	Chum	2006	7.97	0.3	137	1090	327	1090	327
Cook Inlet	Chum	2005	8.02	0.23	169	1354	311	1352.173913	311.42
Cook Inlet	Chum	2004	7.87	0.17	352	2772	463	2723.529412	471.24
Cook Inlet	Chum	2003	6.96	0.13	158	1100	143	1100	143
Cook Inlet	Chum	2002	7.89	0.14	287	2265	317	2264.285714	317.1
Cook Inlet	Chum	2001	8.12	0.29	170	1430	410	1413.793103	414.7
Cook Inlet	Chum	2000	8.1	0.18	200	1620	300	1666.666667	291.6
